name,address,website,phone_number,latitude,longitude,category,reviews_count,reviews_average
ICICI BANK ATM,"Court, New Kh No 180/614/G2, Flat No G2, GF Anmol Carlson, Whitefield Main Rd, opposite Lourdes Church, Bengaluru, Karnataka 560066",nearme.idfcfirstbank.com,1800 10888,12.9744671,77.7108472,bank,,
Union Bank,"No.937 KH 147, SY No 41, Hope Farm, Whitefield, Bengaluru, Karnataka 560066",icicibank.com,1800 1080,12.9744671,77.7108472,bank,,
ICICI BANK ATM,"Inner Valley, Whitefield, Bengaluru, Karnataka 560066",,,12.9744671,77.7108472,bank,,
H D F C Bank,"V. Panduranga Balaji Elegance, 05, Anand Nagar Main Rd, Bengaluru, Karnataka 560024",icicibank.com,1800 1080,12.9744671,77.7108472,bank,,
Axis Bank ATM,"2nd Cross Rd, Sathya Sai Layout, Whitefield, Bengaluru, Karnataka 560066",,,12.9744671,77.7108472,bank,,
ICICI BANK ATM,"No 122, Voyager Building, EPIP Zone Village Road, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",branch.axisbank.com,1860 419 5555,12.9744671,77.7108472,bank,,
ICICI BANK ATM,"EPIP Industrial Area Branch, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066",icicibank.com,1800 1080,12.9744671,77.7108472,bank,,
Axis Bank ATM,"ICICI Bank Ltd. - 6, Immadahalli Main Road, Post, Vinayaka Layout, Whitefield, Bengaluru, Karnataka 560066",,1800 1080,12.9744671,77.7108472,bank,,
Bank Of Baroda,"Inventor Bldg, INTERNATIONAL TECH PARK, Whitefield Main Rd, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",branch.axisbank.com,1860 419 5555,12.9744671,77.7108472,bank,,
Axis Bank ATM,"MS Trijal Motors 7 Prasanthi Layout, Hope Farm Junction, ITPL Main Rd, Whitefield, Bengaluru, Karnataka 560066",bankofbaroda.in,1800 5700,12.9744671,77.7108472,bank,,
ICICI BANK ATM,"No 1038, 36, Immadihalli Main Rd, Meersab Compound, Whitefield, Bengaluru, Karnataka 560067",branch.axisbank.com,1860 500 5555,12.9744671,77.7108472,bank,,
Axis Bank ATM,"Kattamanallur Gate, Hosakote-White Field Junction, Cross Road, Whitefield, Bengaluru, Karnataka 560049",icicibank.com,1800 1080,12.9744671,77.7108472,bank,,
ICICI BANK ATM,"Aviator, INTERNATIONAL TECH PARK, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",branch.axisbank.com,1860 419 5555,12.9744671,77.7108472,bank,,
ICICI BANK ATM,"Logica CMG Pvt Ltd , Divhashree Technopolis, Bellandur Post, Airport Office Road, Bengaluru, Karnataka 560066",icicibank.com,1800 1080,12.9744671,77.7108472,bank,,
Axis Bank ATM,"ICICI Bank Atm, 180, near ITPL Main Road, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",icicibank.com,1800 1080,12.9744671,77.7108472,bank,,
ICICI BANK ATM,"No 137, 6th Flr, Salarpuria Gr Tech Park Vayu Block, White Field Main, Col, Kadugodi, Bengaluru, Karnataka 560066",branch.axisbank.com,1860 419 5555,12.9744671,77.7108472,bank,,
ICICI BANK ATM,"Gopala Reddy, Lakshmi nilaya, Borewell road, Nallurahalli Main Rd, Whitefield, Bengaluru, Karnataka 560066",icicibank.com,1800 1080,12.9744671,77.7108472,bank,,
Axis Bank ATM,"126, Channasandra Nagondana halli ROAD, Main Road, opp. to ayyappa bakery, Kadugodi, Bengaluru, Karnataka 560067",icicibank.com,1800 1080,12.978183,77.7338892,bank,,
Axis Bank ATM,"43/2, Old, 8, Whitefield Main Rd, Bengaluru, Karnataka 560066",branch.axisbank.com,1860 500 5555,12.9814713,77.715711,bank,,
State Bank of India ATM,"58/3, Nallurahalli Main Rd, Palm Meadows, Whitefield, Bengaluru, Karnataka 560066",branch.axisbank.com,1860 500 5555,12.9814713,77.715711,bank,,
Axis Bank ATM,"Sy No 12/1 N 13/1A, HM Tech Park, Pattandur Agrahara, Bengaluru, Karnataka 560066",branch-atm-locator.bank.sbi,1800 11 2211,12.9814713,77.715711,bank,,
IDBI Bank ATM,"Unit No K/1, 1st, International Tech Park Park Square Mall, Whitefield Main Rd, near Information Technology Park, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",branch.axisbank.com,1860 419 5555,12.9814713,77.715711,bank,,
CANARA BANK (formerly Syndicate Bank),"Gopalan Atlantis, Opp Deens Academy School, ECC Road, NORTH, Whitefield, Bengaluru, Karnataka 560066",idbibank.in,,12.9814713,77.715711,bank,,
Kotak Mahindra Bank ATM,"Immadihalli Main Rd, Vinayaka Layout, Whitefield, Bengaluru, Karnataka 560066",canarabank.com,1800 425 0018,12.9814713,77.715711,bank,,
ICICI BANK ATM,"75/2, Whitefield Main Rd, Giddens Layout, Whitefield, Bengaluru, Karnataka 560066",kotak.com,1860 266 2666,12.9814713,77.715711,bank,,
Axis Bank ATM,"Grond Floor Unit No. G04, ICICI Bank Ltd, Brigade Irv Center, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066",,1800 1080,12.9706937,77.6945216,bank,,
ICICI BANK ATM,"62, The Forum Neighbourhood Mall, Whitefield Main Rd, Prestige Ozone, Whitefield, Bengaluru, Karnataka 560066",branch.axisbank.com,1860 419 5555,12.9595383,77.7125658,bank,,
ATM Bandhan Bank,"96, 6Th Floor, TCS, Bengaluru, Karnataka 560066",icicibank.com,1800 1080,12.9873679,77.7011734,bank,,
Axis Bank ATM,"179, Sathya Sai Layout, Whitefield, Bengaluru, Karnataka 560066",,,12.9873679,77.7011734,bank,,
