name,address,website,phone_number,latitude,longitude,category,reviews_count,reviews_average
Rocks Fitness - The Best Premium Gym in Sarjapur,,,,12.9761021,77.7453565,gym,,
Cyborg Fitness,"Kodathi Gate, #114, Shree Yellamma Devi Complex, 2, Sarjapur - Marathahalli Rd, Carmelaram, post, Bengaluru, Karnataka 560035",rocksfitnessguru.com,096777 85755,12.8968124,77.5751876,gym,,
Phoenix Fitness - nallurahalli,"Swamy Vivekanandha Rd, Prasanth Layout, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",cyborgfitness.in,080505 72727,12.8968124,77.5751876,gym,,
The Muscle Monsterz,"Pattandur Agrahara Main Rd, Palm Meadows, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066",phoenix-fitness.in,098805 37297,12.8968124,77.5751876,gym,,
Rock's gym,"34/4, First floor, KN Arcade, Borewell Rd, Palm Meadows, Whitefield, Bengaluru, Karnataka 560066",,077081 90175,12.8968124,77.5751876,gym,,
Phoenix Fitness- Whitefield,"Immadihalli Main Rd, Sathya Sai Layout, Whitefield, Bengaluru, Karnataka 560066",,,12.8968124,77.5751876,gym,,
Signature Fitness,"92, Whitefield Main Rd, Kadugodi Colony, Prasanth Extension, Kadugodi, Bengaluru, Karnataka 560066",phoenix-fitness.in,098805 37297,12.8968124,77.5751876,gym,,
Fitness First Whitefield Bengaluru,"3rd Floor, Ajanth Complex, SH 35, beside Pushpa Nursing Home, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",business.site,089714 13738,12.8968124,77.5751876,gym,,
"Cult Whitefield - Gyms in Vinayaka Layout, Whitefield, Bangalore","No. 7, Prime square, Whitefield Rd, Whitefield, Bengaluru, Karnataka 560066",fitnessfirst.net.in,098441 96777,12.8968124,77.5751876,gym,,
FitX1 Fitness & Wellness,"No 284/1, Whitefield Main Rd, above Dominos Pizza, Vinayaka Layout, Whitefield, Bengaluru, Karnataka 560066",cult.fit,,12.8968124,77.5751876,gym,,
Barbell Cartel Gym,"2nd floor, Spring Valley, Aashvi. 7 & 8, Hopefarm Junction, Channasandra Main Rd, Bengaluru, Karnataka 560066",fitx1.in,081977 38020,12.8968124,77.5751876,gym,,
"Cult Whitefield Hopefarm - Gyms in Prasanth Extension, Whitefield, Bangalore","5th floor, Varthur Rd, above ICICI Bank, next to Laughing Waters 5th Cross Road, Palm Meadows, Ramagondanahalli, Whitefield, Bengaluru, Karnataka 560066",,,12.8968124,77.5751876,gym,,
MHM fitness,"Hopefarm, 3rd Floor, Cult, Arya Hub Mall, Whitefield Main Rd, Prasanth Extension, Whitefield, Bengaluru, Karnataka 560066",cult.fit,070265 72160,12.8968124,77.5751876,gym,,
Result Fitness,"Varthur Rd, opp. Jagriti Renaissance apartment, Ramagondanahalli, Whitefield, Bengaluru, Karnataka 560066",mhm-fitness.business.site,,12.8968124,77.5751876,gym,,
"Cult Whitefield, Shantiniketan - Gyms in Prestige Shantiniketan Bangalore","SL No 1418, 353/D, ITPL Main Rd, next to DSR Spring Beauty Apartment, AECS Layout, Brookefield, Bengaluru, Karnataka 560037",,,12.8968124,77.5751876,gym,,
RC Fitness Club,"3rd Floor, BMW Deutsche Motoren | Bangalore, Whitefield Main Rd, opposite PRESTIGE SHANTINIKETAN, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560048",cult.fit,070265 72383,12.8968124,77.5751876,gym,,
Triumph Fitness Gym Offers 100% Cash Back On Membership Plans - Valid till 31st Dec,"above Moriz Restaurant, AECS Layout - C Block, Kundalahalli, Brookefield, Bengaluru, Karnataka 560037",rc-fitness-club.business.site,098444 24888,12.8968124,77.5751876,gym,,
"Fitness Cafe Mahadevapura - Gyms in Mahadevapura , Bangalore","102, 1st Floor, Kodigehalli Main Rd, near Ayyapa Nagar, Kodigehalli, Krishnarajapura, Bengaluru, Karnataka 560067",sites.google.com,088840 90518,13.0053642,77.5866185,gym,,
Fit Club,"48, Anugrha Layout Rd, Anjappa Layout, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560048",,097385 39098,13.0053642,77.5866185,gym,,
NS Fitness Revolution,"No.265, First Floor, A Block, 60ft Road, Kundalahalli, AECS Layout, Bengaluru, Karnataka 560037",site.dgtechsoln.com,074116 89735,13.0053642,77.5866185,gym,,
