name,address,website,phone_number,latitude,longitude,category,reviews_count,reviews_average
nakshatra lodge,"143/1, Kadubeesanahalli, Opposite Prestige Tech Park, Marthahalli Outer Ring Road, Varthur (H), Bengaluru, Karnataka 560087",octavehotels.com,080 6945 3565,12.942276,77.5532304,hotel,,
Sanctum Suites Whitefield Bangalore,"Near, Hosakote Flyover, Kammavari Pete, Hoskote, Bengaluru, Karnataka 562129",nakshatra-lodge.business.site,098444 55148,13.072266,77.6424624,hotel,,
Hotel Sri Alok Park,"12/5, Naidu estates, Happy valley, near hopefarm junction, Whitefield Main Rd, behind Royalmart, Whitefield, Bengaluru, Karnataka 560066",thesanctumsuites.com,099028 31111,13.072266,77.6424624,hotel,,
Suraksha Stay ITPL Hotel (Bengaluru),"OPP: ITPL, ALOK PLAZA, 1(A) PART, Whitefield Main Rd, Kadugodi, Bengaluru, Karnataka 560066",hotelsrialokpark.com,070424 24242,13.072266,77.6424624,hotel,,
Royal Orchid Suites,"Hopeform Junction, 1st Main Rd, Hill Side Layout, Inner Valley, Bengaluru, Karnataka 560066",bookmystay.io,095135 11656,13.072266,77.6424624,hotel,,
Itsy By Treebo - Worldtree,"VASWANI PINNACLE, annexe, Whitefield Main Rd, Narayanappa Garden, Whitefield, Bengaluru, Karnataka 560066",,080 4251 2345,13.072266,77.6424624,hotel,,
The Den Bengaluru,"#204, near Hope Farm Pattandur Agrahara, Prasanth Extension, Whitefield, Bengaluru, Karnataka 560066",treebo.com,093228 00100,13.072266,77.6424624,hotel,,
"Four Points by Sheraton Bengaluru, Whitefield","ITPL Main Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066",denhotels.com,1800 123 7222,13.072266,77.6424624,hotel,,
Ebenezer Suites,"43/3, Whitefield Main Rd, Inner Valley, Whitefield, Bengaluru, Karnataka 560066",marriott.com,080 4030 1212,13.072266,77.6424624,hotel,,
"FabHotel Whitefield Suites - Hotel in Whitefield, Bangalore","Ebenezer Complex, Junction, Nallurahalli Main Rd, Whitefield, Bengaluru, Karnataka 560066",ebenezersuites.com,098840 15642,13.072266,77.6424624,hotel,,
Adya Hotel,"183, SH 35, Palm Meadows, Sathya Sai Layout, Whitefield, Bengaluru, Karnataka 560066",fabhotels.com,070424 24242,13.072266,77.6424624,hotel,,
OYO Pmr Elitestay Hotel Near Ascendas Park Square Mall,"Near Whitefield Railway Station, Opp Shri Satya Sai Baba Ashram, Beside Dominos/KFC, Sai Colony, 1st Cross Rd, Belathur, Kadugodi, Bengaluru, Karnataka 560067",octavehotels.com,072045 01242,13.072266,77.6424624,hotel,,
Hotel Sri Sathya Sai,"P M R 2, Behind Thalassary Restaurant, 1st Cross, ITPL Main Rd, near Hope Farm Signal, Prasanth Extension, Whitefield, Bengaluru, Karnataka 560066",oyorooms.com,0124 433 0591,13.072266,77.6424624,hotel,,
Octave Brookefield Suites,"Opp State Bank of India, Next to Domino's Pizza, near Whitefiled Rly Station, Kadugodi, Bengaluru, Karnataka 560067",hotelsrisathyasai.in,079753 01745,13.072266,77.6424624,hotel,,
"Holiday Inn Express Bengaluru Whitefield Itpl, an IHG Hotel","39/4 , Arvind Avenue Road, ITPL Main Rd, Post, Marathahalli, Bengaluru, Karnataka 560037",octavehotels.com,080 4736 3820,12.9573889,77.5704554,hotel,,
"Astra Hotels - Whitefield | Hotel near ITPL - International Tech Park, KTPO & EPIP Zone | Hotels near TCS, SAP Labs & GE.","Plot No. 4, beside Harman Building, next to Itpl Back Gate, EPIP Zone, Krishnarajapura, Bengaluru, Karnataka 560066",ihg.com,080671 96666,12.9573889,77.5704554,hotel,,
The Continentti Whitefield,"120-A3, Rd Number 3, Vijayanagar, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066",business.site,096860 29944,12.9573889,77.5704554,hotel,,
Royal Stay,"669, 1st Main Rd, AECS Layout - C Block, AECS Layout, Brookefield, Bengaluru, Karnataka 560037",thecontinentti.com,080500 12526,12.9573889,77.5704554,hotel,,
HOTEL ROYAL BLOOMS - WHITEFIELD,"No 67/ 1 Udupi Park, Mahadavepura, ITPL Main Rd, opposite Bescom, near Phoenix Mall, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048",,070424 24242,12.9573889,77.5704554,hotel,,
"Radha Hometel Bengaluru, A Sarovar Hotel","Prashanth Layout, 5, ITPL Main Rd, Whitefield, Bengaluru, Karnataka 560066",,,12.9573889,77.5704554,hotel,,
The Signature Inn,"Opposite SAP Labs EPIP, Industrial Estate, 136/137, Rd Number 2, EPIP Zone, Brookefield, Bengaluru, Karnataka 560066",sarovarhotels.com,080662 26969,12.9573889,77.5704554,hotel,,
Hotel Highsky Whitefield,"479, Old Taluk Cutchery Rd, near Mastaan Dargah, Upparpete, Cottonpete, Bengaluru, Karnataka 560053",thesignatureinn.in,080 4090 8204,12.9731625,77.4263546,hotel,,
Treebo Trend Emora Hotel And Suites Brookfield,"1st Cross Rd, BEML Layout 6th Stage, BEML Layout, Brookefield, Bengaluru, Karnataka 560066",hsky.in,0124 620 1327,12.9599186,77.5728015,hotel,,
Collection O 30001 Whitefield ITPL,"595, SK Arcade, 1st Main Rd, AECS Layout - C Block, Kundalahalli, Brookefield, Bengaluru, Karnataka 560037",treebo.com,093228 00100,12.9599186,77.5728015,hotel,,
Suraksha Stay Whitefield Hotel,"C1, 139, Whitefield Main Rd, Pattandur Agrahara, Kadugodi, Bengaluru, Karnataka 560066",oyorooms.com,0124 433 0591,12.9599186,77.5728015,hotel,,
ICON REGENCY BY BHAGINI,"Hagadur Main Rd, near to Indian Oil Petrol Pump, near Forum Value Mall, Narayanappa Garden, Whitefield, Bengaluru, Karnataka 560066",bookmystay.io,063668 38383,12.9599186,77.5728015,hotel,,
Capital O The Udupi Park Boutique Hotel Near Ascendas Park Square Mall,"139/C1, ITPL Main Rd, next to GR TECH PARK, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",iconhotelsindia.com,080 4207 4450,12.9599186,77.5728015,hotel,,
"Vivanta Bengaluru, Whitefield","1st Cross Road, Prashanth Extension, Kadugodi, Mahadevapura Zone Bangalore East, Bangalore Urban, Bengaluru, Karnataka 560066",oyorooms.com,0124 433 0591,12.9599186,77.5728015,hotel,,
Bengaluru Marriott Hotel Whitefield,"Whitefield Main Rd, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",vivantahotels.com,080669 33333,12.9599186,77.5728015,hotel,,
Keys Select,"Plot No 75, 8th Rd, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066",marriott.com,080 4943 5000,12.9599186,77.5728015,hotel,,
Orbis Hotel,"Keys Hotel, Plot No 6, 1st Phase, ITPL Main Rd, opp. Graphite India, Industrial Area, Bengaluru, Karnataka 560048",lemontreehotels.com,,12.9599186,77.5728015,hotel,,
CHRIS HOTELS,"147, Varthur Kodi, 1, Whitefield Main Rd, Bengaluru, Karnataka 560066",,096066 28960,12.9599186,77.5728015,hotel,,
"FabHotel Valleyton Suites - Hotels in Marathahalli, Bangalore","119 EPIP Area, Rd Number 3, Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066",chrishotels.in,070424 24242,12.9599186,77.5728015,hotel,,
OYO 12525 Hotel PMR,"No.78, 2nd Main Street, Outer Ring Rd, near WeWork, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037",fabhotels.com,070424 24242,12.9599186,77.5728015,hotel,,
Townhouse OAK Southern Hotels,"10 Belthur village, post, Whitefield, Kadugodi, Bengaluru, Karnataka 560067",oyorooms.com,0124 433 0591,12.9599186,77.5728015,hotel,,
Prime Bliss -GR Tech Park ITPL,"Bus stop, 35/1B, Varthur Rd, near Spice Garden, Lakshminarayana Pura, Munnekollal, Bengaluru, Karnataka 560037",oyorooms.com,0124 620 1730,12.9599186,77.5728015,hotel,,
Oakwood Residence Whitefield Bangalore,"08 ITPL Upkar layout, ECC Rd, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",hotelprimebliss.com,080 6844 6886,12.9599186,77.5728015,hotel,,
Rabi Da's Hotel,"Nexus Whitefield Mall, 62, Whitefield Main Rd, Prestige Ozone, Whitefield, Bengaluru, Karnataka 560066",discoverasr.com,080667 08888,12.9599186,77.5728015,hotel,,
