name,address,website,phone_number,latitude,longitude,category,reviews_count,reviews_average
Amrik Pharmacy,"Survey No 200, Whitefield Main Rd, Whitefield, Bengaluru, Karnataka 560066",apollopharmacy.in,080 2295 1532,12.9757091,77.7216753,pharmacy,,
Apollo pharmacy Borewell road,"5th floor, Amrik Hospital, 209 Prasanth Layout, Swami Vivekananda Road 1st Floor, Whitefield, Karnataka 560066",,,12.9757091,77.7216753,pharmacy,,
Thirumala Pharma,"Borewell Rd, Palm Meadows, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",apollopharmacy.in,011 3083 7575,12.9757091,77.7216753,pharmacy,,
Ramdev Medical,"# 3, Malayappa Complex, ECC Road, Pattandur Agrahara, Bengaluru, Karnataka 560066",,098805 87324,12.9757091,77.7216753,pharmacy,,
SUN Pharma,"No.1, Carslon Court, Whitefield, opp. Our Lady Of Laurdes Church, Bengaluru, Karnataka 560066",ramdev-medical.business.site,098440 97920,12.9757091,77.7216753,pharmacy,,
SVASTHA PHARMA,"Dr Meer Complex Main Rd 2, Whitefield Main Rd, Sathya Sai Layout, Whitefield, Bengaluru, Karnataka 560066",,080 2590 1853,12.9757091,77.7216753,pharmacy,,
MedPlus White Field,"# 3, Narayanappa Garden, Whitefield, Bengaluru, Karnataka 560066",svasthahospital.com,080952 70008,12.9757091,77.7216753,pharmacy,,
Ganesh Pharma Nallurahalli,"Shop No 11, No 669, Katha No 434, 394, Dasarahalli Main Rd, opposite Csi Church, Whitefield, Bengaluru, Karnataka 560066",,063668 62136,12.9757091,77.7216753,pharmacy,,
SRI RAM MEDICAL,"KN Arcade, NO 34/4 SHOP NO 5 GRD FLR WHITEFIELD, Bengaluru, Karnataka 560066",,078779 38587,12.9690048,77.7040402,pharmacy,,
DKA Pharmacy,"post office, 271, Borewell Rd, next to white field, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",business.site,086607 91238,12.9690048,77.7040402,pharmacy,,
Apollo Pharmacy Channasandra,"82, 2nd B Rd, Vijayanagar, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066",dkapharma.com,080 4906 9069,12.9690048,77.7040402,pharmacy,,
Medi House Pharma,"SN 11 & 12, Sy No 492/112/1 of 3, GF Main Road, Road, near Kadugodi, Channasandra, Bengaluru, Karnataka 560067",apollopharmacy.in,080 2845 2010,12.9798245,77.7262617,pharmacy,,
Cloudnine Pharmacy - Whitefield,"197/2, Whitefield Main Rd, near HUL R & D Center, Palm Meadows, Whitefield, Bengaluru, Karnataka 560066",,078999 18143,12.9798245,77.7262617,pharmacy,,
Dalvkot Pharmacy,"2nd Floor, Plot No: 11, Nagarjuna Sai Signet, Survey No:88, Whitefield Main Rd, KIADB Export Promotion Industrial Area, Krishnarajapura, Bengaluru, Karnataka 560066",cloudninecare.com,099728 99728,12.9877551,77.6959901,pharmacy,,
Sri Balaji medicals,"#120B, Ground Floor, opposite to Inorbit Mall, EPIP Zone, INDUSTRIAL AREA, Bengaluru, Karnataka 560066",dalvkotpharma.com,,12.9877551,77.6959901,pharmacy,,
Aster Pharmacy - Hoodi,"XP9Q+PCG, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066",,099809 28917,12.9877551,77.6959901,pharmacy,,
Apollo Pharmacy Immadihalli Main Road,"No 18 Hoodi, hobli, Krishnarajapura, Bengaluru, Karnataka 560048",hoodi.asterpharmacy.in,090211 02615,12.9877551,77.6959901,pharmacy,,
Sai Laxmi Medical And General Store,"Shop No 6, Ground FloorQ, Immadihalli Main Rd, near Bescom, Whitefield, Bengaluru, Karnataka 560066",apollopharmacy.in,063648 83316,12.9702935,77.7300104,pharmacy,,
Amrit Medical,"Ambedkar Nagar, Whitefield, Bengaluru, Karnataka 560066",,079758 72203,12.9702935,77.7300104,pharmacy,,
Sujay Medicals,"#452A, Immadihalli Main Rd, opposite to STAR Bazaar, Whitefield, Bengaluru, Karnataka 560066",,,12.9702935,77.7300104,pharmacy,,
Mallikarjuna Medical Store,"600/500, 2, Vijayanagar Main Rd, opposite to NVT LIFE SQUARE, Ambedkar Nagar, Whitefield, Bengaluru, Karnataka 560066",sujay-medicals.business.site,098450 03646,12.9702935,77.7300104,pharmacy,,
Apollo Pharmacy Immadihalli,"3 & 4, Borewell Rd, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066",business.site,099869 18198,12.9693917,77.7006229,pharmacy,,
Med plus,"Shop No 1, Survey No 43, Ground Floor Ward, 84, Immadihalli Main Rd, Nagondanahalli, Bengaluru, Karnataka 560066",apollopharmacy.in,076249 56117,12.9700457,77.7311274,pharmacy,,
Pharm Home Pharmacy,"24/1 Dodsworth Enclave, 5th Cross, Borewell Rd, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",,,12.9687608,77.7088996,pharmacy,,
Medplus,"Shop No. 8&9, Besides DTDC Courier, Channasandra Main Rd, A K Gopalan Colony, Channasandra, Bengaluru, Karnataka 560067",,099025 44515,12.9825054,77.7275379,pharmacy,,
MedPlus Immadihalli,"20, Immadihalli Main Rd, KEB Colony, Narayanappa Garden, Whitefield, Bengaluru, Karnataka 560066",medplusindia.com,040 6700 6700,12.9825054,77.7275379,pharmacy,,
V Care Pharma,"No- 3, Shop No- 01, Ground Floor Property, 6, Immadihalli Main Rd, near Sree Rama Temple, Hagadur, Village, Whitefield, Bengaluru, Karnataka 560066",medplusmart.com,040 6700 6700,12.9825054,77.7275379,pharmacy,,
Maruthi Medicals,"Jamia Masjid, SH 35, Main Road, Whitefield, Bengaluru, Karnataka 560066",,080 2845 1824,12.9825054,77.7275379,pharmacy,,
Radha Medicals,"11, ground floor, shop, #62, no.1, Vijayanagar, Whitefield, Bengaluru, Karnataka 560066",,099166 32238,12.9825054,77.7275379,pharmacy,,
Grace Nissi Medical,"No. 54, 78, Outer Circle, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",,,12.9825054,77.7275379,pharmacy,,
Medlife Pharma,"XPHM+6XW, Ecc Rd, White Rose Layout, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",,095915 39928,12.9781009,77.6989113,pharmacy,,
Sri kesari medical ಶ್ರೀ ಕೇಸರಿ ಮೆಡಿಕಲ್ಸ್,"#6/1, Immadihalli Main Rd, opp. Hospital, near Mayura Bakery, Meersab Compound, Whitefield, Bengaluru, Karnataka 560066",,089710 05712,12.9781009,77.6989113,pharmacy,,
Harsha Medical & General Store,"Happy Valley, Whitefield, Bengaluru, Karnataka 560066",,095387 89004,12.9781009,77.6989113,pharmacy,,
sathya sai medicals,"XQH3+V97, Ambedkar Nagar, Whitefield, Bengaluru, Karnataka 560066",,,12.9796725,77.7173582,pharmacy,,
Apollo Pharmacy Marathahalli,"ASV Complex, shop:123/3, behind ITPLwhitefield, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",,091108 79871,12.9824467,77.6974715,pharmacy,,
Appianna Mane,"Shop No 01, 60 Feet Rd, AECS Layout, Marathahalli, Bengaluru, Karnataka 560037",apollopharmacy.in,080 2296 0459,12.960834,77.6811758,pharmacy,,
Apollo Pharmacy Thubarahalli,"XQJ6+PM5, A K Gopalan Colony, Channasandra, Bengaluru, Karnataka 560067",,,12.9817573,77.7256838,pharmacy,,
Sri Rama Medicals,"Sy No. 5/2, Ground Floor, Opp Shriram Samruddhi Apartments Near Kundanahalli Signal, Thubarahalli, Whitefield, Bengaluru, Karnataka 560066",apollopharmacy.in,080 4124 5624,12.9549709,77.6811601,pharmacy,,
Aster Pharmacy - Varthur,"XQ73+MHV, Narayanappa Garden, Whitefield, Bengaluru, Karnataka 560066",,080 3252 5554,12.9642374,77.717874,pharmacy,,
Apollo Pharmacy Ayyappa Nagar,"68/1, Muthsandra Main Road, Khatha No: 1536, Municipal No: 132, Ward No:149 Varthur Village, Bengaluru, Karnataka 560087",varthur.asterpharmacy.in,080 4803 1322,12.9642374,77.717874,pharmacy,,
