name,address,website,phone_number,latitude,longitude,category,reviews_count,reviews_average
The Restaurant @Whitefield,"Krishvi Prospero, 601, AECS Layout Main Rd, AECS Layout - C Block, Brookefield, Bengaluru, Karnataka 560037",chulhachaukidadhaba.com,080 4092 5270,12.9644278,77.6978268,restaurant,,
Tadka Punjabi Restaurant ( swad uttar Bharat ka) North Indian restaurant,"No-8/1 & 8/2, Whitefield Main Rd, behind Reliance Fresh, Byrappa Layout, Sathya Sai Layout, Whitefield, Bengaluru, Karnataka 560066",,089719 28777,12.9708941,77.7325598,restaurant,,
The Eatery,"icici Bank, hope farm Behined, Whitefield hope Farm LIC & icici Bank building, Whitefield, Bengaluru, Karnataka 560066",tadkapunjabi.in,072598 31412,12.9708941,77.7325598,restaurant,,
Chowki Multi cuisine restaurant,"43, 3, Whitefield Main Rd, Inner Valley, Whitefield, Bengaluru, Karnataka 560066",marriott.com,080 4030 1212,12.9708941,77.7325598,restaurant,,
Habba Kadal Kashmiri Heritage Hub & Restaurant,"61, Main Rd, Whitefield, Nallurhalli, Bengaluru, Karnataka 560037",,085508 22963,12.9688425,77.7174364,restaurant,,
Balaji Restaurant,"326, Inner Cir Rd, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",habbakadal.in,076187 85900,12.9719738,77.7313031,restaurant,,
HILL POINT KITCHEN,"XPMX+JJV, Prasanth Layout, Prasanth Extension, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",,,12.9719738,77.7313031,restaurant,,
Mothi Restaurant,"Hill Side Layout, Ambedkar Nagar, Whitefield, Bengaluru, Karnataka 560066",,081472 83481,12.9719738,77.7313031,restaurant,,
Punjabi Kitchen,"#454, Whitefield Main Rd, next to MAYURA BAKERY, Whitefield, Bengaluru, Karnataka 560066",,077953 86903,12.9719738,77.7313031,restaurant,,
Thalassery Restaurant,"Whitefield Main Rd, next to Anand sweet, Whitefield, Bengaluru, Karnataka 560066",,097395 59078,12.9719738,77.7313031,restaurant,,
The Diner Restobar,"XQM2+P2P, Prasanth Extension, Whitefield, Bengaluru, Karnataka 560066",thalasseryrestaurant.com,,12.9719738,77.7313031,restaurant,,
Kerala Tiffin,"107/4, Pattandur Agrahara Main Rd, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",business.site,099000 99602,12.9842923,77.7154222,restaurant,,
Srinidhi Signature Restaurant by Foxglove International,"No. 34/1, Abhayadhama road, White Rose Layout Rd, near Holy cross school, Prasanth Layout, Prasanth Extension, Bengaluru, Karnataka 560066",keralatiffin.com,079079 43091,12.9805377,77.7297711,restaurant,,
Marigold Restaurant Bangalore,"Hope Farm Circle, Channasandra Main Rd, Ambedkar Nagar, Whitefield, Bengaluru, Karnataka 560066",foxgloveinternational.in,063648 79902,12.9805377,77.7297711,restaurant,,
